index,ensemble_size,Nt_SDE,solver_type,gm_var_ratio,inflation,eps_a,eps_b,rmse_mean
83,20,200,0,0.0,1.0,0.8,0.075,0.5091870838999749
84,20,200,0,0.0,1.0,0.8,0.1,0.579337035338084
85,20,200,0,0.0,1.0,0.8,0.125,0.6430906016031901
86,20,200,0,0.0,1.0,0.8,0.15,0.7011495667099952
87,20,200,0,0.0,1.0,0.8,0.175,0.7543485883076987
88,20,200,0,0.0,1.0,0.8,0.2,0.8034305410782496
89,20,200,0,0.0,1.0,0.8,0.225,0.8490160861810049
90,20,200,0,0.0,1.0,0.9,0.001,1.096092760026455
91,20,200,0,0.0,1.0,0.9,0.025,0.4231515600085259
92,20,200,0,0.0,1.0,0.9,0.05,0.5331371594071388
93,20,200,0,0.0,1.0,0.9,0.075,0.6379822763005892
94,20,200,0,0.0,1.0,0.9,0.1,0.7294976787964502
95,20,200,0,0.0,1.0,0.9,0.125,0.8096379948854446
96,20,200,0,0.0,1.0,0.9,0.15,0.8806997766494751
97,20,200,0,0.0,1.0,0.9,0.175,0.9445234653552372
98,20,200,0,0.0,1.0,0.9,0.2,1.0025139296849566
99,20,200,0,0.0,1.0,0.9,0.225,1.055745460311572
