index,ensemble_size,Nt_SDE,solver_type,gm_var_ratio,inflation,eps_a,eps_b,rmse_mean
83,20,200,0,0.0,1.0,0.8,0.075,0.44727977609634395
84,20,200,0,0.0,1.0,0.8,0.1,0.5252345306277275
85,20,200,0,0.0,1.0,0.8,0.125,0.5944762948751448
86,20,200,0,0.0,1.0,0.8,0.15,0.6566212111115456
87,20,200,0,0.0,1.0,0.8,0.175,0.7129800246953965
88,20,200,0,0.0,1.0,0.8,0.2,0.7645740798711775
89,20,200,0,0.0,1.0,0.8,0.225,0.8121993824243546
90,20,200,0,0.0,1.0,0.9,0.001,0.9204590824246408
91,20,200,0,0.0,1.0,0.9,0.025,0.3250257617533207
92,20,200,0,0.0,1.0,0.9,0.05,0.46246107113361357
93,20,200,0,0.0,1.0,0.9,0.075,0.5799311816096305
94,20,200,0,0.0,1.0,0.9,0.1,0.6792330634593965
95,20,200,0,0.0,1.0,0.9,0.125,0.7646941223144531
96,20,200,0,0.0,1.0,0.9,0.15,0.8396145514249801
97,20,200,0,0.0,1.0,0.9,0.175,0.9063523457050324
98,20,200,0,0.0,1.0,0.9,0.2,0.9666097645759582
99,20,200,0,0.0,1.0,0.9,0.225,1.0216451849937438
